experiment_name,version,response
Experiment A Chunks,American Story Old Phoebe Chunks 1,{'0': None}
Experiment A Chunks,American Story Old Phoebe Chunks 2,{'0': None}
Experiment A Chunks,American Story Old Phoebe Chunks 3,{'0': None}
Experiment A Chunks,American Story Old Phoebe Chunks 4,{'0': None}
Experiment A Chunks,American Story Old Phoebe Chunks 5,{'0': None}
Experiment A Chunks,American Story Lottery Chunks 1,{'0': None}
Experiment A Chunks,American Story Lottery Chunks 2,{'0': None}
Experiment A Chunks,American Story Lottery Chunks 3,{'0': None}
Experiment A Chunks,American Story Lottery Chunks 4,{'0': None}
Experiment A Chunks,American Story Lottery Chunks 5,{'0': None}
Experiment A Chunks,American Story Ylla Chunks 1,{'0': None}
Experiment A Chunks,American Story Ylla Chunks 2,{'0': None}
Experiment A Chunks,American Story Ylla Chunks 3,{'0': None}
Experiment A Chunks,American Story Ylla Chunks 4,{'0': None}
Experiment A Chunks,American Story Ylla Chunks 5,{'0': None}
Experiment A Chunks,American Story Flying Chunks 1,{'0': None}
Experiment A Chunks,American Story Flying Chunks 2,{'0': None}
Experiment A Chunks,American Story Flying Chunks 3,{'0': None}
Experiment A Chunks,American Story Flying Chunks 4,{'0': None}
Experiment A Chunks,American Story Flying Chunks 5,{'0': None}
Experiment A Full,American Story Old Phoebe Full,{'0': None}
Experiment A Full,American Story Lottery Full,{'0': None}
Experiment A Full,American Story Ylla Full,{'0': None}
Experiment A Full,American Story Flying Full,{'0': None}
Experiment A Full,American Story Double Birthday Full,{'0': None}
