experiment_name,version,response
Experiment A Chunks,American Story Old Phoebe Chunks 1,"{'0': 4, '1': 5, '2': 4, '3': 1, '4': 1}"
Experiment A Chunks,American Story Old Phoebe Chunks 2,"{'0': 4, '1': 5, '2': 4, '3': 3, '4': 4}"
Experiment A Chunks,American Story Old Phoebe Chunks 3,"{'0': 4, '1': 3, '2': 3, '3': 1, '4': 1}"
Experiment A Chunks,American Story Old Phoebe Chunks 4,"{'0': 4, '1': 3, '2': 3, '3': 1, '4': 1}"
Experiment A Chunks,American Story Old Phoebe Chunks 5,"{'0': 5, '1': 4, '2': 5, '3': 3, '4': 1}"
Experiment A Chunks,American Story Lottery Chunks 1,"{'0': 4, '1': 3, '2': 5, '3': 1, '4': 4}"
Experiment A Chunks,American Story Lottery Chunks 2,"{'0': 5, '1': 4, '2': 5, '3': 2, '4': 3}"
Experiment A Chunks,American Story Lottery Chunks 3,"{'0': 5, '1': 6, '2': 6, '3': 3, '4': 4}"
Experiment A Chunks,American Story Lottery Chunks 4,"{'0': 4, '1': 3, '2': 5, '3': 2, '4': 4}"
Experiment A Chunks,American Story Lottery Chunks 5,"{'0': 6, '1': 5, '2': 6, '3': 5, '4': 4}"
Experiment A Chunks,American Story Ylla Chunks 1,"{'0': 5, '1': 4, '2': 5, '3': 3, '4': 2}"
Experiment A Chunks,American Story Ylla Chunks 2,"{'0': 5, '1': 4, '2': 5, '3': 3, '4': 3}"
Experiment A Chunks,American Story Ylla Chunks 3,"{'0': 6, '1': 5, '2': 6, '3': 4, '4': 3}"
Experiment A Chunks,American Story Ylla Chunks 4,"{'0': 6, '1': 5, '2': 6, '3': 4, '4': 3}"
Experiment A Chunks,American Story Ylla Chunks 5,"{'0': 6, '1': 5, '2': 6, '3': 5, '4': 4}"
Experiment A Chunks,American Story Flying Chunks 1,"{'0': 4, '1': 3, '2': 3, '3': 3, '4': 3}"
Experiment A Chunks,American Story Flying Chunks 2,"{'0': 4, '1': 3, '2': 3, '3': 2, '4': 3}"
Experiment A Chunks,American Story Flying Chunks 3,"{'0': 5, '1': 4, '2': 5, '3': 3, '4': 3}"
Experiment A Chunks,American Story Flying Chunks 4,"{'0': 5, '1': 4, '2': 5, '3': 3, '4': 3}"
Experiment A Chunks,American Story Flying Chunks 5,"{'0': 5, '1': 4, '2': 5, '3': 3, '4': 4}"
Experiment A Full,American Story Old Phoebe Full,"{'0': 5, '1': 6, '2': 4, '3': 6, '4': 6, '5': 5, '6': 7, '7': 1, '8': 6}"
Experiment A Full,American Story Lottery Full,"{'0': 7, '1': 7, '2': 5, '3': 7, '4': 7, '5': 6, '6': 7, '7': 7, '8': 7}"
Experiment A Full,American Story Ylla Full,"{'0': 1, '1': 2, '2': 3, '3': 4, '4': 5, '5': 6, '6': 7, '7': 8, '8': 9}"
Experiment A Full,American Story Flying Full,"{'0': 6, '1': 7, '2': 5, '3': 7, '4': 7, '5': 6, '6': 7, '7': 1, '8': 7}"
Experiment A Full,American Story Double Birthday Full,"{'0': 7, '1': 7, '2': 6, '3': 7, '4': 7, '5': 6, '6': 7, '7': 1, '8': 7}"
