***Question 1: "Overall, how much did you enjoy, appreciate, or like the passage?"***
7. Liked Extremely Much

***Question 2: "During your reading, to what extent did you feel either bored or interested while reading the passage?"***
7. Extremely Interested

***Question 3: "To what extent were you satisfied with the outcome of the passage?"***
6. Very Satisfied

***Question 4: "To what extent did the passage seem complete?"***
7. Extremely Complete

***Question 5: "Was the information in the passage correctly arranged? That is, was the information given at the best possible times to produce as effective a story as would be possible from this material?"***
7. Extremely Arranged Correctly

***Question 6: "To what extent did you empathize or identify with the character(s) in the passage?"***
6. A Lot

***Question 7: "To what extent could the information and events in the passage be understood?"***
7. Clearly Understandable

***Question 8: "To what extent did you find the passage violent?"***
1. Not Violent

***Question 9: "To what extent did you think that the author was trying to express an insight about human nature, or a truth about the 'human condition'?"***
7. Extremely Insightful
