experiment_name,version,response
Experiment A,since feeling is first,"{'0': [{'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Suspense'}, {'emotion1': 'Annoyance'}, {'emotion1': 'Sadness'}, {'emotion1': 'Humor'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}], '1': [{'emotion1': 'Vitality', 'emotion2': None}, {'emotion1': 'Beauty/Joy', 'emotion2': None}, {'emotion1': 'Annoyance', 'emotion2': None}, {'emotion1': 'Beauty/Joy', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Humor', 'emotion2': None}, {'emotion1': 'Beauty/Joy', 'emotion2': None}, {'emotion1': 'Suspense', 'emotion2': None}], '2': [2], '3': [1, 'Vitality', 'Sadness']}"
Experiment A,How Do I Love Thee? (Sonnet 43),"{'0': [[{'line_number': 1, 'emotion1': 'Vitality', 'emotion2': None}, {'line_number': 2, 'emotion1': 'Awe/Sublime', 'emotion2': None}, {'line_number': 3, 'emotion1': 'Beauty/Joy', 'emotion2': None}, {'line_number': 4, 'emotion1': 'Nostalgia', 'emotion2': 'Beauty/Joy'}, {'line_number': 5, 'emotion1': 'Sadness', 'emotion2': None}, {'line_number': 6, 'emotion1': 'Suspense', 'emotion2': None}, {'line_number': 7, 'emotion1': 'Annoyance', 'emotion2': None}, {'line_number': 8, 'emotion1': 'Uneasiness', 'emotion2': None}, {'line_number': 9, 'emotion1': 'Humor', 'emotion2': None}, {'line_number': 10, 'emotion1': 'Awe/Sublime', 'emotion2': None}]]}"
Experiment A,The Good-Morrow,"{'0': [{'emotion1': 'Vitality', 'emotion2': None}, {'emotion1': 'Awe/Sublime', 'emotion2': None}, {'emotion1': 'Beauty/Joy', 'emotion2': None}, {'emotion1': 'Humor', 'emotion2': None}, {'emotion1': 'Nostalgia', 'emotion2': 'Sadness'}, {'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Suspense', 'emotion2': None}, {'emotion1': 'Uneasiness', 'emotion2': None}, {'emotion1': 'Vitality', 'emotion2': None}, {'emotion1': 'Awe/Sublime', 'emotion2': None}, {'emotion1': 'Beauty/Joy', 'emotion2': None}, {'emotion1': 'Humor', 'emotion2': None}, {'emotion1': 'Nostalgia', 'emotion2': 'Beauty/Joy'}, {'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Suspense', 'emotion2': None}, {'emotion1': 'Uneasiness', 'emotion2': None}, {'emotion1': 'Vitality', 'emotion2': None}, {'emotion1': 'Awe/Sublime', 'emotion2': None}, {'emotion1': 'Beauty/Joy', 'emotion2': None}, {'emotion1': 'Humor', 'emotion2': None}, {'emotion1': 'Nostalgia', 'emotion2': 'Sadness'}, {'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Suspense', 'emotion2': None}, {'emotion1': 'Uneasiness', 'emotion2': None}, {'emotion1': 'Vitality', 'emotion2': None}], '1': [2], '2': [2]}"
Experiment A,Happy the man,"{'0': [[{'line_number': 1, 'emotion1': 'Awe/Sublime', 'emotion2': None}, {'line_number': 2, 'emotion1': 'Beauty/Joy', 'emotion2': None}, {'line_number': 3, 'emotion1': 'Humor', 'emotion2': None}, {'line_number': 4, 'emotion1': 'Nostalgia', 'emotion2': 'Beauty/Joy'}, {'line_number': 5, 'emotion1': 'Sadness', 'emotion2': None}, {'line_number': 6, 'emotion1': 'Suspense', 'emotion2': None}, {'line_number': 7, 'emotion1': 'Uneasiness', 'emotion2': None}, {'line_number': 8, 'emotion1': 'Vitality', 'emotion2': None}, {'line_number': 9, 'emotion1': 'Annoyance', 'emotion2': None}]]}"
Experiment A,ON MR . GAY,{'0': [2]}
Experiment A,TO —.,"{'0': [[{'line_number': 1, 'emotion1': 'Beauty/Joy', 'emotion2': None}, {'line_number': 2, 'emotion1': 'Vitality', 'emotion2': None}, {'line_number': 3, 'emotion1': 'Awe/Sublime', 'emotion2': None}, {'line_number': 4, 'emotion1': 'Humor', 'emotion2': None}, {'line_number': 5, 'emotion1': 'Nostalgia', 'emotion2': 'Beauty/Joy'}, {'line_number': 6, 'emotion1': 'Sadness', 'emotion2': None}, {'line_number': 7, 'emotion1': 'Suspense', 'emotion2': None}, {'line_number': 8, 'emotion1': 'Uneasiness', 'emotion2': None}, {'line_number': 9, 'emotion1': 'Annoyance', 'emotion2': None}]], '1': [{'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Nostalgia', 'emotion2': 'Sadness'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}]}"
Experiment A,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","{'0': [{'emotion1': 'Vitality', 'emotion2': None}, {'emotion1': 'Vitality', 'emotion2': None}, {'emotion1': 'Beauty/Joy', 'emotion2': None}, {'emotion1': 'Awe/Sublime', 'emotion2': 'Beauty/Joy'}, {'emotion1': 'Vitality', 'emotion2': 'Beauty/Joy'}, {'emotion1': 'Vitality', 'emotion2': 'Beauty/Joy'}, {'emotion1': 'Vitality', 'emotion2': 'Beauty/Joy'}, {'emotion1': 'Humor', 'emotion2': None}, {'emotion1': 'Nostalgia', 'emotion2': 'Sadness'}], '1': [{'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Awe', 'emotion2': 'Sublime'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Awe', 'emotion2': 'Sublime'}, {'emotion1': 'Sadness'}, {'emotion1': 'Vitality'}, {'emotion1': 'Vitality'}, {'emotion1': 'Vitality'}, {'emotion1': 'Beauty', 'emotion2': 'Nostalgia'}], '2': [{'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Nostalgia', 'emotion2': 'Sadness'}, {'emotion1': 'Sadness', 'emotion2': None}], '3': [{'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': 'Suspense'}, {'emotion1': 'Beauty/Joy', 'emotion2': None}, {'emotion1': 'Uneasiness', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': None}], '4': [{'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': 'Nostalgia'}, {'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Nostalgia', 'emotion2': 'Beauty/Joy'}]}"
Experiment A,"BREAK , BREAK , BREAK .","{'0': [{'emotion1': 'Awe/Sublime', 'emotion2': None}, {'emotion1': 'Awe/Sublime', 'emotion2': None}, {'emotion1': 'Beauty/Joy', 'emotion2': None}, {'emotion1': 'Beauty/Joy', 'emotion2': 'Vitality'}], '1': [2], '2': [2], '3': [{'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Awe/Sublime', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': 'Nostalgia'}, {'emotion1': 'Sadness', 'emotion2': 'Nostalgia'}]}"
Experiment A,"The White Man""s Burden","{'0': [1], '1': [{'emotion1': 'Uneasiness', 'emotion2': None}, {'emotion1': 'Uneasiness', 'emotion2': None}, {'emotion1': 'Uneasiness', 'emotion2': None}, {'emotion1': 'Uneasiness', 'emotion2': None}, {'emotion1': 'Suspense', 'emotion2': None}, {'emotion1': 'Suspense', 'emotion2': None}, {'emotion1': 'Annoyance', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': None}], '2': [{'emotion1': 'Annoyance', 'emotion2': None}, {'emotion1': 'Annoyance', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Uneasiness', 'emotion2': None}, {'emotion1': 'Uneasiness', 'emotion2': None}, {'emotion1': 'Vitality', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': None}], '3': [{'emotion1': 'Annoyance', 'emotion2': None}, {'emotion1': 'Annoyance', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Uneasiness', 'emotion2': None}, {'emotion1': 'Suspense', 'emotion2': None}, {'emotion1': 'Vitality', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Nostalgia', 'emotion2': 'Sadness'}], '4': [{'emotion1': 'Annoyance', 'emotion2': None}, {'emotion1': 'Annoyance', 'emotion2': None}, {'emotion1': 'Suspense', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Uneasiness', 'emotion2': None}, {'emotion1': 'Uneasiness', 'emotion2': None}, {'emotion1': 'Uneasiness', 'emotion2': None}, {'emotion1': 'Vitality', 'emotion2': None}], '5': [{'emotion1': 'Annoyance', 'emotion2': None}, {'emotion1': 'Vitality', 'emotion2': None}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Suspense', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Uneasiness', 'emotion2': None}, {'emotion1': 'Annoyance', 'emotion2': None}]}"
Experiment A,The Way through the Woods,"{'0': [{'emotion1': 'Awe/Sublime', 'emotion2': None}, {'emotion1': 'Beauty/Joy', 'emotion2': None}, {'emotion1': 'Humor', 'emotion2': None}, {'emotion1': 'Nostalgia', 'emotion2': 'Beauty/Joy'}, {'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Suspense', 'emotion2': None}, {'emotion1': 'Uneasiness', 'emotion2': None}, {'emotion1': 'Vitality', 'emotion2': None}], '1': [{'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Suspense'}, {'emotion1': 'Suspense'}, {'emotion1': 'Vitality'}, {'emotion1': 'Vitality'}, {'emotion1': 'Vitality'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Suspense'}, {'emotion1': 'Nostalgia', 'emotion2': 'Sadness'}, {'emotion1': 'Sadness'}]}"
