experiment_name,version,response
Experiment A,since feeling is first,"{'0': [3], '1': [{'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Sadness', 'emotion2': 'Beauty', 'emotion3': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}], '2': [2], '3': [1, 'Vitality', None]}"
Experiment A,How Do I Love Thee? (Sonnet 43),"{'0': [{'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Nostalgia'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}]}"
Experiment A,The Good-Morrow,"{'0': [{'emotion1': 'Nostalgia', 'emotion2': 'Beauty/Joy'}, {'emotion1': 'Nostalgia', 'emotion2': 'Beauty/Joy'}, {'emotion1': 'Nostalgia', 'emotion2': 'Beauty/Joy'}, {'emotion1': 'Nostalgia', 'emotion2': 'Beauty/Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Nostalgia', 'emotion2': 'Beauty/Joy'}], '1': [{'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Vitality'}, {'emotion1': 'Vitality'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}], '2': [{'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Sadness'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}]}"
Experiment A,Happy the man,"{'0': [{'emotion1': 'Vitality', 'emotion2': None}, {'emotion1': 'Vitality', 'emotion2': None}, {'emotion1': 'Vitality', 'emotion2': None}, {'emotion1': 'Vitality', 'emotion2': None}, {'emotion1': 'Vitality', 'emotion2': None}, {'emotion1': 'Vitality', 'emotion2': None}, {'emotion1': 'Vitality', 'emotion2': None}, {'emotion1': 'Vitality', 'emotion2': None}]}"
Experiment A,ON MR . GAY,"{'0': [{'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Vitality'}, {'emotion1': 'Awe', 'emotion2': 'Sublime'}, {'emotion1': 'Awe', 'emotion2': 'Sublime'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Sadness'}, {'emotion1': 'Awe', 'emotion2': 'Sublime'}, {'emotion1': 'Awe', 'emotion2': 'Sublime'}, {'emotion1': 'Awe', 'emotion2': 'Sublime'}, {'emotion1': 'Sadness'}]}"
Experiment A,TO —.,"{'0': [3], '1': [{'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Nostalgia'}]}"
Experiment A,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","{'0': [2], '1': [2], '2': [8, 'Sadness', None], '3': [2], '4': [9, 'Nostalgia', 'Beauty/Joy']}"
Experiment A,"BREAK , BREAK , BREAK .","{'0': [{'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': 'Awe/Sublime'}, {'emotion1': 'Sadness', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': None}], '1': [{'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}], '2': [{'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Beauty', 'emotion2': 'Joy'}, {'emotion1': 'Sadness', 'emotion2': 'Nostalgia'}, {'emotion1': 'Sadness', 'emotion2': 'Nostalgia'}], '3': [{'emotion1': 'Annoyance', 'emotion2': None}, {'emotion1': 'Awe/Sublime', 'emotion2': None}, {'emotion1': 'Sadness', 'emotion2': 'Nostalgia'}, {'emotion1': 'Sadness', 'emotion2': 'Nostalgia'}]}"
Experiment A,"The White Man""s Burden","{'0': [{'emotion1': 'Annoyance'}, {'emotion1': 'Annoyance'}, {'emotion1': 'Sadness'}, {'emotion1': 'Annoyance'}, {'emotion1': 'Uneasiness'}, {'emotion1': 'Uneasiness'}, {'emotion1': 'Uneasiness'}, {'emotion1': 'Uneasiness'}, {'emotion1': 'Annoyance'}, {'emotion1': 'Sadness'}, {'emotion1': 'Uneasiness'}, {'emotion1': 'Annoyance'}, {'emotion1': 'Vitality'}, {'emotion1': 'Vitality'}, {'emotion1': 'Annoyance'}, {'emotion1': 'Annoyance'}], '1': [{'emotion1': 'Annoyance'}, {'emotion1': 'Annoyance'}, {'emotion1': 'Sadness'}, {'emotion1': 'Sadness'}, {'emotion1': 'Suspense'}, {'emotion1': 'Sadness'}, {'emotion1': 'Annoyance'}, {'emotion1': 'Sadness'}], '2': [{'emotion1': 'Annoyance'}, {'emotion1': 'Annoyance'}, {'emotion1': 'Sadness'}, {'emotion1': 'Sadness'}, {'emotion1': 'Uneasiness'}, {'emotion1': 'Uneasiness'}, {'emotion1': 'Vitality'}, {'emotion1': 'Sadness'}], '3': [{'emotion1': 'Annoyance'}, {'emotion1': 'Annoyance'}, {'emotion1': 'Sadness'}, {'emotion1': 'Sadness'}, {'emotion1': 'Sadness'}, {'emotion1': 'Suspense'}, {'emotion1': 'Sadness'}, {'emotion1': 'Nostalgia', 'emotion2': 'Sadness'}], '4': [{'emotion1': 'Annoyance'}, {'emotion1': 'Annoyance'}, {'emotion1': 'Sadness'}, {'emotion1': 'Sadness'}, {'emotion1': 'Suspense'}, {'emotion1': 'Suspense'}, {'emotion1': 'Uneasiness'}, {'emotion1': 'Annoyance'}], '5': [{'emotion1': 'Annoyance'}, {'emotion1': 'Annoyance'}, {'emotion1': 'Sadness'}, {'emotion1': 'Sadness'}, {'emotion1': 'Suspense'}, {'emotion1': 'Sadness'}, {'emotion1': 'Sadness'}, {'emotion1': 'Annoyance'}]}"
Experiment A,The Way through the Woods,"{'0': [2], '1': [2]}"
