experiment_name,experiment_version,response,Q1,Q2,FOLLOWED_INSTRUCTIONS,paper_name,experiment_type,decoding_strategy,model_name,run_uid,collection_uid
Experiment A,Pen Not Mentioned,"{'Q1': 1, 'Q2': 2}",1.0,2.0,True,gerrig,standard,deterministic,google_gemma-7b-it,20240825_020759_ee1031ff,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Removed,"{'Q1': 2, 'Q2': 6}",2.0,6.0,True,gerrig,standard,deterministic,google_gemma-7b-it,20240825_020759_ee1031ff,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Not Removed,"{'Q1': 6, 'Q2': 6}",6.0,6.0,True,gerrig,standard,deterministic,google_gemma-7b-it,20240825_020759_ee1031ff,20240825_203411_5db1e5d2
Experiment B,Unused Comb,"{'Q1': 3, 'Q2': 6}",3.0,6.0,True,gerrig,standard,deterministic,google_gemma-7b-it,20240825_020759_ee1031ff,20240825_203411_5db1e5d2
Experiment B,Used Comb,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,google_gemma-7b-it,20240825_020759_ee1031ff,20240825_203411_5db1e5d2
Experiment C,Prior Solution Not Mentioned,"{'Q1': 2, 'Q2': 6}",2.0,6.0,True,gerrig,standard,deterministic,google_gemma-7b-it,20240825_020759_ee1031ff,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned and Removed,"{'Q1': 2, 'Q2': 6}",2.0,6.0,True,gerrig,standard,deterministic,google_gemma-7b-it,20240825_020759_ee1031ff,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned Not Removed,"{'Q1': 6, 'Q2': 6}",6.0,6.0,True,gerrig,standard,deterministic,google_gemma-7b-it,20240825_020759_ee1031ff,20240825_203411_5db1e5d2
Experiment A,Pen Not Mentioned,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3-8B-Instruct-Turbo,20240825_014548_d89490eb,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Removed,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3-8B-Instruct-Turbo,20240825_014548_d89490eb,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Not Removed,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3-8B-Instruct-Turbo,20240825_014548_d89490eb,20240825_203411_5db1e5d2
Experiment B,Unused Comb,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3-8B-Instruct-Turbo,20240825_014548_d89490eb,20240825_203411_5db1e5d2
Experiment B,Used Comb,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3-8B-Instruct-Turbo,20240825_014548_d89490eb,20240825_203411_5db1e5d2
Experiment C,Prior Solution Not Mentioned,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3-8B-Instruct-Turbo,20240825_014548_d89490eb,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned and Removed,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3-8B-Instruct-Turbo,20240825_014548_d89490eb,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned Not Removed,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3-8B-Instruct-Turbo,20240825_014548_d89490eb,20240825_203411_5db1e5d2
Experiment A,Pen Not Mentioned,"{'Q1': 4, 'Q2': 6}",4.0,6.0,True,gerrig,standard,deterministic,mistralai_Mixtral-8x22B-Instruct-v0.1,20240825_020925_608ac210,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Removed,"{'Q1': 4, 'Q2': 6}",4.0,6.0,True,gerrig,standard,deterministic,mistralai_Mixtral-8x22B-Instruct-v0.1,20240825_020925_608ac210,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Not Removed,"{'Q1': 4, 'Q2': 6}",4.0,6.0,True,gerrig,standard,deterministic,mistralai_Mixtral-8x22B-Instruct-v0.1,20240825_020925_608ac210,20240825_203411_5db1e5d2
Experiment B,Unused Comb,"{'Q1': 4, 'Q2': 6}",4.0,6.0,True,gerrig,standard,deterministic,mistralai_Mixtral-8x22B-Instruct-v0.1,20240825_020925_608ac210,20240825_203411_5db1e5d2
Experiment B,Used Comb,"{'Q1': 4, 'Q2': 6}",4.0,6.0,True,gerrig,standard,deterministic,mistralai_Mixtral-8x22B-Instruct-v0.1,20240825_020925_608ac210,20240825_203411_5db1e5d2
Experiment C,Prior Solution Not Mentioned,"{'Q1': 4, 'Q2': 6}",4.0,6.0,True,gerrig,standard,deterministic,mistralai_Mixtral-8x22B-Instruct-v0.1,20240825_020925_608ac210,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned and Removed,"{'Q1': 4, 'Q2': 6}",4.0,6.0,True,gerrig,standard,deterministic,mistralai_Mixtral-8x22B-Instruct-v0.1,20240825_020925_608ac210,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned Not Removed,"{'Q1': 4, 'Q2': 6}",4.0,6.0,True,gerrig,standard,deterministic,mistralai_Mixtral-8x22B-Instruct-v0.1,20240825_020925_608ac210,20240825_203411_5db1e5d2
Experiment A,Pen Not Mentioned,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,Qwen_Qwen1.5-14B-Chat,20240825_021038_57723c1b,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Removed,"{'Q1': 1, 'Q2': 7}",1.0,7.0,True,gerrig,standard,deterministic,Qwen_Qwen1.5-14B-Chat,20240825_021038_57723c1b,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Not Removed,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,Qwen_Qwen1.5-14B-Chat,20240825_021038_57723c1b,20240825_203411_5db1e5d2
Experiment B,Unused Comb,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,Qwen_Qwen1.5-14B-Chat,20240825_021038_57723c1b,20240825_203411_5db1e5d2
Experiment B,Used Comb,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,Qwen_Qwen1.5-14B-Chat,20240825_021038_57723c1b,20240825_203411_5db1e5d2
Experiment C,Prior Solution Not Mentioned,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,Qwen_Qwen1.5-14B-Chat,20240825_021038_57723c1b,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned and Removed,"{'Q1': 1, 'Q2': 7}",1.0,7.0,True,gerrig,standard,deterministic,Qwen_Qwen1.5-14B-Chat,20240825_021038_57723c1b,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned Not Removed,"{'Q1': 1, 'Q2': 7}",1.0,7.0,True,gerrig,standard,deterministic,Qwen_Qwen1.5-14B-Chat,20240825_021038_57723c1b,20240825_203411_5db1e5d2
